clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Vasco,Johan Rojas,Meia,Casa,CHA,1.7,1.7,1,5.51,-0.49
Mirassol,Willian Machado,Zagueiro,Fora,REM,0.0,0.0,1,4.09,-0.91
Flamengo,Pedro,Atacante,Casa,INT,6.4,6.4,1,18.61,-1.39
Cruzeiro,Marcelo Eráclito,Goleiro,Casa,CFC,0.0,0.0,0,1.0,0.0
Mirassol,Igor Cariús,Lateral,Fora,REM,0.0,0.0,0,3.0,0.0
Vasco,GB,Atacante,Casa,CHA,0.0,0.0,1,3.27,-0.73
Bragantino,Cauê,Lateral,Casa,CAM,0.0,0.0,0,2.0,0.0
São Paulo,Dória,Zagueiro,Fora,SAN,0.0,0.0,0,7.0,0.0
Santos,JP Chermont,Lateral,Casa,SAO,0.0,0.0,0,2.0,0.0
Mirassol,Galeano,Atacante,Fora,REM,1.2,1.2,1,6.97,-1.03
Mirassol,Denilson,Meia,Fora,REM,0.0,0.0,0,5.0,0.0
Vasco,Saldivia,Zagueiro,Casa,CHA,0.0,0.0,0,6.0,0.0
Botafogo,Wallace Davi,Meia,Fora,GRE,0.0,0.0,0,4.0,0.0
Bragantino,Gustavo Henrique,Zagueiro,Casa,CAM,0.0,0.0,0,3.0,0.0
Atlético-MG,Maycon,Meia,Fora,RBB,2.5,2.5,1,6.6,-0.4
Internacional,Paulinho,Meia,Fora,FLA,0.2,0.2,1,4.16,-0.84
Bragantino,Marcelinho,Meia,Casa,CAM,6.3,6.3,1,3.03,2.03
Vasco,Guilherme Estrella,Meia,Casa,CHA,0.0,0.0,0,3.0,0.0
Vasco,Phillipe Gabriel,Goleiro,Casa,CHA,0.0,0.0,0,1.0,0.0
Bahia,Román Gómez,Lateral,Casa,FLU,0.0,0.0,0,5.0,0.0
Atlético-MG,Mateus Iseppe,Meia,Fora,RBB,0.0,0.0,0,2.0,0.0
Mirassol,Lucas Oliveira,Zagueiro,Fora,REM,0.0,0.0,0,4.0,0.0
Atlético-MG,Kauã Pascini,Lateral,Fora,RBB,0.0,0.0,0,1.0,0.0
São Paulo,Luan Vinícius,Meia,Fora,SAN,0.0,0.0,0,4.0,0.0
